,Mobile Link,Mobile Name,Price,Rating,SIM Type,Display Size,Resolution,Display Type,GPU,Operating System,Processor Type,Processor Core,Internal Storage,RAM,Total Memory,Expandable Storage,Primary Camera,Secondary Camera,Digital Zoom,Frame Rate,Supported Networks,Bluetooth Version,Wi-Fi Version,NFC,Battery Capacity
0,https://flipkart.com/samsung-galaxy-a14-5g-dark-red-128-gb/p/itma8393faabfb76?pid=MOBGHT8UUUNXNYZ4&lid=LSTMOBGHT8UUUNXNYZ4QUY1LJ&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_69wk7O-ePuB81QtatGd2Q4MRLLJsG09Sb4ccve8wkuhkV7qU3xrP6jv6MilaZt8NWn0rLHS-k1NXmOMXwSoZg_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)  (6 GB RAM)","₹10,999",4.2,Dual Sim,16.76 cm (6.6 inch),2408 x 1080 Pixels,Full HD+,ARM Mali G68 MP2,Android 13,Exynos 1330,Octa Core,128 GB,6 GB,128 GB,1 TB,50MP + 2MP + 2MP,13MP Front Camera,Upto 10X,30 fps,"5G, 4G LTE, WCDMA, GSM",v5.0,802.11,No,5000 mAh
1,https://flipkart.com/samsung-galaxy-a14-5g-light-green-128-gb/p/itmabe91abe7ba0c?pid=MOBGHT8UU3STRKZS&lid=LSTMOBGHT8UU3STRKZSI7GOCK&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_69wk7O-ePuB81QtatGd2Q4MRLLJsG09Sb4ccve8wkuhmnj_p0Pya_-4qQwqhntZNnJLSrVyAuuGUkkwpZV7-D_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)  (6 GB RAM)","₹10,999",4.2,Dual Sim,16.76 cm (6.6 inch),2408 x 1080 Pixels,Full HD+,ARM Mali G68 MP2,Android 13,Exynos 1330,Octa Core,128 GB,6 GB,128 GB,1 TB,50MP + 2MP + 2MP,13MP Front Camera,Upto 10X,30 fps,"5G, 4G LTE, WCDMA, GSM",v5.0,802.11,No,5000 mAh
2,https://flipkart.com/motorola-g85-5g-cobalt-blue-128-gb/p/itm3c5fb4da1bfe6?pid=MOBHY9PQ7FGZKVDK&lid=LSTMOBHY9PQ7FGZKVDK4B1TIW&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=062bbc06-04ba-4f54-938c-d7fc3e05028c.MOBHY9PQ7FGZKVDK.SEARCH&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"Motorola G85 5G (Cobalt Blue, 128 GB)  (8 GB RAM)","₹17,999",4.5,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 Pixels,pOLED Endless Edge Display,Qualcomm Adreno 619,Android 14,6s Gen 3,Octa Core,128 GB,8 GB,N/A,N/A,50MP + 8MP,32MP Front Camera,Upto 8X,30 fps,"4G LTE, 5G, GSM, WCDMA",v5.1,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),No,5000 mAh
3,https://flipkart.com/motorola-g85-5g-olive-green-128-gb/p/itm1c4b849213a0e?pid=MOBHY9PQMNCMDVCD&lid=LSTMOBHY9PQMNCMDVCDI6UUHQ&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=062bbc06-04ba-4f54-938c-d7fc3e05028c.MOBHY9PQMNCMDVCD.SEARCH&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"Motorola G85 5G (Olive Green, 128 GB)  (8 GB RAM)",N/A,4.5,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 Pixels,pOLED Endless Edge Display,Qualcomm Adreno 619,Android 14,6s Gen 3,Octa Core,128 GB,8 GB,N/A,N/A,50MP + 8MP,32MP Front Camera,Upto 8X,30 fps,"4G LTE, 5G, GSM, WCDMA",v5.1,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),No,5000 mAh
4,https://flipkart.com/poco-m6-plus-5g-ice-silver-128-gb/p/itm7e794d10838b4?pid=MOBH2M2DTGYS9HPB&lid=LSTMOBH2M2DTGYS9HPBRYLMHV&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=en_69wk7O-ePuB81QtatGd2Q4MRLLJsG09Sb4ccve8wkugt8jluC0a8EMupNTB-DJ8bsncraCGuzOIADEyVQtyFQn3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"POCO M6 Plus 5G (Ice Silver, 128 GB)  (6 GB RAM)","₹10,999",4.2,Dual Sim,17.25 cm (6.79 inch),2460 x 1080 Pixels,N/A,N/A,Android 14,Snapdragon 4 Gen2 AE,Octa Core,128 GB,6 GB,N/A,1 TB,108MP + 2MP,13MP Front Camera,Upto 10X,N/A,"5G, 4G VoLTE, 4G LTE, WCDMA, GSM",v5.0,Supports 2.4 GHz and 5 GHz Dual Band,No,5030 mAh
5,https://flipkart.com/infinix-note-40x-5g-palm-blue-256-gb/p/itm9c39960257804?pid=MOBH34XGH9JGS3KM&lid=LSTMOBH34XGH9JGS3KMTLDOKR&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_69wk7O-ePuB81QtatGd2Q4MRLLJsG09Sb4ccve8wkuhKWrI5g3aRKlQ2PbMahPikK_6DWHSBz-cVZQzhd4ibhuvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"Infinix Note 40X 5G (Palm Blue, 256 GB)  (12 GB RAM)",N/A,4.3,Dual Sim,17.22 cm (6.78 inch),2460 x 1080 Pixels,Full HD+,N/A,Android 14,Dimensity 6300,Octa Core,256 GB,12 GB,N/A,1 TB,108MP + 2MP + AI Lens,8MP Front Camera,Yes,N/A,"5G, 4G LTE, WCDMA, GSM",v5.2,802.11 (a/b/g/n/ac),Yes,5000 mAh
6,https://flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-feather-pink-128-gb/p/itma30cb38861d4c?pid=MOBH4GBFXAJPXAHQ&lid=LSTMOBH4GBFXAJPXAHQP94XCS&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=062bbc06-04ba-4f54-938c-d7fc3e05028c.MOBH4GBFXAJPXAHQ.SEARCH&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 128 GB)  (6 GB RAM)","₹12,999",4.5,Dual Sim,16.94 cm (6.67 inch),1604 x 720 Pixels,LCD,G57 MC2,Android 14,Dimensity 6300,Octa Core,128 GB,6 GB,N/A,1 TB,32MP + 2MP,8MP Front Camera,N/A,N/A,"5G, 4G LTE, WCDMA, GSM",N/A,N/A,No,5100 mAh
7,https://flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-midnight-violet-256-gb/p/itma30cb38861d4c?pid=MOBH2Q4PGAVECMVA&lid=LSTMOBH2Q4PGAVECMVAWNAD45&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=062bbc06-04ba-4f54-938c-d7fc3e05028c.MOBH2Q4PGAVECMVA.SEARCH&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 256 GB)  (8 GB RAM)",N/A,4.4,Dual Sim,16.94 cm (6.67 inch),1604 x 720 Pixels,LCD,G57 MC2,Android 14,Dimensity 6300,Octa Core,256 GB,8 GB,N/A,1 TB,32MP + 2MP,8MP Front Camera,N/A,N/A,"5G, 4G LTE, WCDMA, GSM",N/A,N/A,No,5100 mAh
8,https://flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-breeze-blue-256-gb/p/itma30cb38861d4c?pid=MOBH2Q4PGJCZZGT5&lid=LSTMOBH2Q4PGJCZZGT5FYFH80&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=062bbc06-04ba-4f54-938c-d7fc3e05028c.MOBH2Q4PGJCZZGT5.SEARCH&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)  (8 GB RAM)","₹15,999",4.4,Dual Sim,16.94 cm (6.67 inch),1604 x 720 Pixels,LCD,G57 MC2,Android 14,Dimensity 6300,Octa Core,256 GB,8 GB,N/A,1 TB,32MP + 2MP,8MP Front Camera,N/A,N/A,"5G, 4G LTE, WCDMA, GSM",N/A,N/A,No,5100 mAh
9,https://flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZL9QHES&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=062bbc06-04ba-4f54-938c-d7fc3e05028c.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=bf56x9jr0w0000001735198664261&qH=9215ad6dc70e1542,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)  (8 GB RAM)","₹14,332",4.4,Dual Sim,17.07 cm (6.72 inch),2400x1080,N/A,N/A,Android Android 13,N/A,Octa Core,128 GB,8 GB,N/A,N/A,108MP Rear Camera,N/A,N/A,N/A,5G,N/A,N/A,N/A,5000 mAh
